"person_id","previous_purpose","start_time_min","start_x","start_y","start_zone","next_purpose","end_time","end_x","end_y","end_zone","mode","time_min","distance_m"
4,"HOME",459,4458333,5401478,307,"WORK",465,4461487.05289319,5397527.83439459,355,"BUS",6,7104.21849859226
4,"WORK",525,4461487.05289319,5397527.83439459,355,"HOME",531,4458333,5401478,307,"BUS",6,7104.21849859226
4,"HOME",1899,4458333,5401478,307,"WORK",1905,4462639.27374885,5402848.62324512,348,"BUS",6,5676.8969939677
4,"WORK",1965,4462639.27374885,5402848.62324512,348,"SHOPPING",1972,4457920.86986428,5399642.92999122,323,"BUS",7,7924.09713847376
4,"SHOPPING",2017,4457920.86986428,5399642.92999122,323,"HOME",2019,4458333,5401478,307,"BUS",2,2247.20014450606
4,"HOME",2352,4458333,5401478,307,"OTHER",2357,4458819.36784487,5405331.15306906,145,"BIKE",5,4339.52091393527
4,"OTHER",2372,4458819.36784487,5405331.15306906,145,"HOME",2377,4458333,5401478,307,"BIKE",5,4339.52091393527
4,"HOME",2400,4458333,5401478,307,"SHOPPING",2411,4466740.60746015,5403578.44429245,377,"CAR_DRIVER",11,10508.0517526092
4,"SHOPPING",2436,4466740.60746015,5403578.44429245,377,"HOME",2447,4458333,5401478,307,"CAR_DRIVER",11,10508.0517526092
4,"HOME",3343,4458333,5401478,307,"WORK",3345,4457823.03172251,5402951.90569482,205,"BIKE",2,1983.87397230696
4,"WORK",3405,4457823.03172251,5402951.90569482,205,"HOME",3407,4458333,5401478,307,"BIKE",2,1983.87397230696
4,"HOME",4771,4458333,5401478,307,"WORK",4785,4472262.36287565,5395174.48123667,406,"TRAM_METRO",14,20232.8816389795
4,"WORK",4845,4472262.36287565,5395174.48123667,406,"ACCOMPANY",4860,4458638.81877358,5402816.8084797,208,"TRAM_METRO",15,21265.8713451
4,"ACCOMPANY",4860,4458638.81877358,5402816.8084797,208,"HOME",4862,4458333,5401478,307,"TRAM_METRO",2,1644.6272532763
4,"HOME",6221,4458333,5401478,307,"WORK",6225,4461069.57141032,5401355.23430935,346,"CAR_DRIVER",4,2859.33710097335
