person_id,previous_purpose,start_time_min,start_x,start_y,start_zone,next_purpose,end_time,end_x,end_y,end_zone,mode,time_min,distance_m
15,HOME,1768,4456712.5,5404189,174,ACCOMPANY,1770,4458068.86626199,5403697.62595843,198,CAR_DRIVER,2,1847.74030356575
15,ACCOMPANY,1845,4458068.86626199,5403697.62595843,198,ACCOMPANY,1853,4458357.44594906,5403447.75927903,198,CAR_DRIVER,0,538.446366455406
15,ACCOMPANY,1868,4458357.44594906,5403447.75927903,198,HOME,1870,4456712.5,5404189,174,CAR_DRIVER,2,2386.18667002115
15,HOME,2078,4456712.5,5404189,174,SHOPPING,2079,4457859.69377622,5404528.31346664,185,WALK,1,1486.50724285282
15,SHOPPING,2104,4457859.69377622,5404528.31346664,185,HOME,2105,4456712.5,5404189,174,WALK,1,1486.50724285282
15,HOME,3428,4456712.5,5404189,174,OTHER,3434,4458242.1604087,5400060.8643298,324,BIKE,6,5657.79607890733
15,OTHER,3449,4458242.1604087,5400060.8643298,324,HOME,3455,4456712.5,5404189,174,BIKE,6,5657.79607890733
15,HOME,4970,4456712.5,5404189,174,SHOPPING,4973,4454526.01623227,5403672.66248478,151,WALK,3,2702.8212829493
15,SHOPPING,4998,4454526.01623227,5403672.66248478,151,HOME,5001,4456712.5,5404189,174,WALK,3,2702.8212829493
15,HOME,6558,4456712.5,5404189,174,ACCOMPANY,6560,4457528.70776163,5402938.86024986,204,BIKE,2,2066.34751177114
15,ACCOMPANY,6575,4457528.70776163,5402938.86024986,204,HOME,6577,4456712.5,5404189,174,BIKE,2,2066.34751177114
15,HOME,7677,4456712.5,5404189,174,ACCOMPANY,7679,4457338.03622557,5403172.18341814,204,CAR_DRIVER,2,1642.35280743428
15,ACCOMPANY,7694,4457338.03622557,5403172.18341814,204,HOME,7696,4456712.5,5404189,174,CAR_DRIVER,2,1642.35280743428
15,HOME,9085,4456712.5,5404189,174,ACCOMPANY,9085,4456770.85479642,5404594.02334971,172,WALK,0,463.378146133386
15,ACCOMPANY,9100,4456770.85479642,5404594.02334971,172,HOME,9100,4456712.5,5404189,174,WALK,0,463.378146133386
15,HOME,9552,4456712.5,5404189,174,ACCOMPANY,9554,4457613.65377638,5402960.33248398,204,WALK,2,2129.82129240129
15,ACCOMPANY,9569,4457613.65377638,5402960.33248398,204,ACCOMPANY,9584,4457722.16010238,5402551.56315395,207,WALK,1,517.275656027719
15,ACCOMPANY,9599,4457722.16010238,5402551.56315395,207,HOME,9602,4456712.5,5404189,174,WALK,3,2647.09694842901
16,HOME,463,4456712.5,5404189,174,RECREATION,463,4456404.30720366,5404209.61567337,171,WALK,0,328.808469708078
16,RECREATION,613,4456404.30720366,5404209.61567337,171,SHOPPING,628,4456510.04326061,5403340.28618981,182,WALK,2,975.065540505573
16,SHOPPING,653,4456510.04326061,5403340.28618981,182,HOME,654,4456712.5,5404189,174,WALK,1,1051.17054958548
16,HOME,780,4456712.5,5404189,174,ACCOMPANY,782,4458138.47272008,5403306.17870256,198,WALK,2,2308.79401752632
16,ACCOMPANY,797,4458138.47272008,5403306.17870256,198,HOME,799,4456712.5,5404189,174,WALK,2,2308.79401752632
16,HOME,870,4456712.5,5404189,174,ACCOMPANY,893,4463037.19836652,5376892.0412393,1128,CAR_DRIVER,23,33621.6571272211
16,ACCOMPANY,908,4463037.19836652,5376892.0412393,1128,OTHER,916,4462319.37776438,5377249.68940324,1121,CAR_DRIVER,1,1075.46876608767
16,OTHER,1036,4462319.37776438,5377249.68940324,1121,HOME,1060,4456712.5,5404189,174,CAR_DRIVER,24,32546.1883611334
16,HOME,2200,4456712.5,5404189,174,RECREATION,2201,4454912.5533134,5404330.45043484,165,CAR_DRIVER,1,1941.39712144434
16,RECREATION,2321,4454912.5533134,5404330.45043484,165,ACCOMPANY,2326,4457949.10066321,5402648.09047883,207,CAR_DRIVER,4,4718.90730583109
16,ACCOMPANY,2341,4457949.10066321,5402648.09047883,207,HOME,2344,4456712.5,5404189,174,CAR_DRIVER,3,2777.51018438675
16,HOME,2523,4456712.5,5404189,174,RECREATION,2538,4467753.43244012,5402287.59206533,380,CAR_DRIVER,15,12942.3403747827
16,RECREATION,2658,4467753.43244012,5402287.59206533,380,RECREATION,2677,4464428.02626619,5404131.10362135,255,CAR_DRIVER,7,5168.91772994306
16,RECREATION,2812,4464428.02626619,5404131.10362135,255,HOME,2819,4456712.5,5404189,174,CAR_DRIVER,7,7773.42264483962
16,HOME,3514,4456712.5,5404189,174,OTHER,3520,4460418.97632696,5401683.59446969,340,CAR_DRIVER,6,6211.88185727317
16,OTHER,3580,4460418.97632696,5401683.59446969,340,HOME,3586,4456712.5,5404189,174,CAR_DRIVER,6,6211.88185727317
16,HOME,4851,4456712.5,5404189,174,ACCOMPANY,4860,4461268.6255448,5398599.17015834,354,BIKE,9,10145.9553864673
16,ACCOMPANY,4875,4461268.6255448,5398599.17015834,354,OTHER,4880,4459444.13519603,5400133.53095449,344,BIKE,5,3358.85114492662
16,OTHER,5015,4459444.13519603,5400133.53095449,344,HOME,5021,4456712.5,5404189,174,BIKE,6,6787.10424154066
16,HOME,6347,4456712.5,5404189,174,OTHER,6348,4457411.61767138,5404868.8863841,184,WALK,1,1379.00405548513
16,OTHER,6408,4457411.61767138,5404868.8863841,184,HOME,6409,4456712.5,5404189,174,WALK,1,1379.00405548513
16,HOME,6635,4456712.5,5404189,174,ACCOMPANY,6637,4458100.68384256,5403639.41151319,198,WALK,2,1937.7723293677
16,ACCOMPANY,6652,4458100.68384256,5403639.41151319,198,HOME,6654,4456712.5,5404189,174,WALK,2,1937.7723293677
16,HOME,6723,4456712.5,5404189,174,RECREATION,6728,4457185.74573091,5401944.16010182,203,CAR_DRIVER,5,2718.08562909439
16,RECREATION,6788,4457185.74573091,5401944.16010182,203,OTHER,6805,4453881.7253532,5405038.30757299,164,CAR_DRIVER,7,6398.16784887854
16,OTHER,6820,4453881.7253532,5405038.30757299,164,ACCOMPANY,6826,4457962.14093897,5402796.2955239,207,CAR_DRIVER,5,6322.42763486039
16,ACCOMPANY,6841,4457962.14093897,5402796.2955239,207,HOME,6844,4456712.5,5404189,174,CAR_DRIVER,3,2642.34541507624
16,HOME,8310,4456712.5,5404189,174,OTHER,8312,4454563.8314035,5403772.69252235,149,WALK,2,2564.97607415263
16,OTHER,8327,4454563.8314035,5403772.69252235,149,HOME,8329,4456712.5,5404189,174,WALK,2,2564.97607415263
16,HOME,9166,4456712.5,5404189,174,RECREATION,9173,4449320.0737477,5404039.84392989,98,CAR_DRIVER,7,7541.58232240472
16,RECREATION,9188,4449320.0737477,5404039.84392989,98,RECREATION,9209,4456173.46510147,5404286.231684,170,CAR_DRIVER,7,7099.77910787612
16,RECREATION,9269,4456173.46510147,5404286.231684,170,OTHER,9281,4456657.19226794,5404959.5624521,142,CAR_DRIVER,1,1157.05793456454
